model,window_size,horizon,avg_rmse,avg_mae,avg_mape,n_windows
arima,24,1,0.2288994599492682,0.2288994599492682,1.546301065463725,831
ridge,24,1,0.7407184783009008,0.7407184783009008,4.578496571487274,641
elastic_net,24,1,0.7595820472310034,0.7595820472310034,4.747459242123071,642
lasso,24,1,0.8068503079485054,0.8068503079485054,4.944101322997665,641
arima,36,1,0.23109043708168714,0.23109043708168714,1.5927110196398595,819
lasso,36,1,0.8098425529099664,0.8098425529099664,5.78750583757538,666
elastic_net,36,1,0.8219831842483153,0.8219831842483153,5.859875393490967,664
ridge,36,1,0.8707299948222279,0.8707299948222279,6.122739122562629,665
arima,48,1,0.2196722070947323,0.2196722070947323,1.5475924889597144,807
lasso,48,1,0.9452127384737983,0.9452127384737983,7.142156328695206,690
elastic_net,48,1,0.9534781589847329,0.9534781589847329,7.216375496607123,689
ridge,48,1,1.0136105162340026,1.0136105162340026,7.507640996056726,691
arima,60,1,0.21302836794196736,0.21302836794196736,1.4794878217652958,795
elastic_net,60,1,1.0719666152158172,1.0719666152158172,8.082183529031072,714
lasso,60,1,1.0846454007505757,1.0846454007505757,8.137466156117151,713
ridge,60,1,1.1364773031877802,1.1364773031877802,8.412947434246158,714
arima,24,3,0.42468853282312496,0.37435127555121095,2.516868446185113,831
ridge,24,3,1.085035895861192,0.9963738966033525,6.140465661582255,641
elastic_net,24,3,1.1973974483161807,1.07834623106445,6.904743916875093,642
lasso,24,3,1.3154303943931807,1.1811099074132787,7.283074062378306,641
arima,36,3,0.4296486937107152,0.378815751092685,2.57592646971004,819
lasso,36,3,1.131435067428535,1.0483943878561086,7.454492701661258,666
elastic_net,36,3,1.1437667774334153,1.0630043207499615,7.585075556111412,664
ridge,36,3,1.148351386731018,1.0804780110848653,7.635595942031873,665
arima,48,3,0.40427791905926524,0.35421011500096483,2.423332081481367,807
lasso,48,3,1.2261252408550933,1.1535483986707522,8.606347819529272,690
ridge,48,3,1.2378267874626592,1.182577011562436,8.72357915367256,691
elastic_net,48,3,1.2481576706460245,1.1715572926715436,8.712858917167331,689
arima,60,3,0.398506450201419,0.3495125392528296,2.357386854316201,795
lasso,60,3,1.324563154560057,1.2633419151862826,9.394031116937178,713
elastic_net,60,3,1.346604805559487,1.2783128861006012,9.461600692207336,714
ridge,60,3,1.3517341016842472,1.2992446075795614,9.593283693212355,714
arima,24,6,0.6828673533327426,0.5712912136058597,3.8380335799389407,831
ridge,24,6,1.5453667043559516,1.3597160295678807,8.412528195337913,641
elastic_net,24,6,1.7999075212413143,1.5421721219665503,10.144948753185881,642
lasso,24,6,2.0236897114848533,1.7225761849123944,10.855837420327758,641
arima,36,6,0.696991143057105,0.5837639811122383,3.941546264153635,819
ridge,36,6,1.5282065838820602,1.3776161245561227,9.81756015533004,665
elastic_net,36,6,1.5793571103968762,1.4018841408877376,10.03937899657412,664
lasso,36,6,1.5845749795025363,1.3975439506588065,9.94715225426679,666
arima,48,6,0.6529926472791632,0.5435526207182465,3.659450149917365,807
ridge,48,6,1.554318954234714,1.4275538620201786,10.517887785164206,691
lasso,48,6,1.585201409903201,1.430969685310759,10.626942889961882,690
elastic_net,48,6,1.6509469217720845,1.480443764796747,10.860130611271744,689
arima,60,6,0.6469496311037913,0.5380180971528186,3.54638732627119,795
ridge,60,6,1.6424538336193393,1.5281658949799548,11.275122038491745,714
lasso,60,6,1.646265091525502,1.516021771078042,11.176123888489618,713
elastic_net,60,6,1.7033105621331581,1.561736691666359,11.387655590468551,714
arima,24,12,1.1400720281231738,0.9281040963393149,6.429410429962773,831
ridge,24,12,2.2727024597136483,1.952321100305794,12.60936854969733,641
elastic_net,24,12,2.7236987123188308,2.3039909321640653,15.929578720854284,642
lasso,24,12,3.0107518606772246,2.5554565858653193,17.0758783906811,641
arima,36,12,1.1671588201879628,0.9525300311947453,6.466826709952956,819
ridge,36,12,2.1854238066763414,1.9082976989537044,14.00858640016927,665
elastic_net,36,12,2.3595076792963243,2.0244311911004726,14.790448691275492,664
lasso,36,12,2.364420389768069,2.023764393256918,14.748746322099999,666
arima,48,12,1.103416846747564,0.889099981221599,5.829605536329559,807
ridge,48,12,2.1422968488808944,1.8880855436898734,14.666467937749454,691
lasso,48,12,2.24868655003017,1.9480738883759303,15.186029302811374,690
elastic_net,48,12,2.3516446575378525,2.0387760204033527,15.590560332066026,689
arima,60,12,1.1066131848309178,0.8888729086363911,5.6893975206515,795
ridge,60,12,2.156529161785407,1.9407450705919584,15.07889558389321,714
lasso,60,12,2.239369364915387,1.9862650997349953,15.297056215658408,713
elastic_net,60,12,2.307354879314234,2.0510735739658386,15.64257487165905,714
